Species,Region,Collection_Date,Count
ACT flea iflavirus,Oceans and Seas,2017.0,2
ANAJ Hantavirus,South America,2009.0,1
ANMV-1 virus,Unknown,2009.0,1
APSE phage Eptesicus fuscus/P5/IT/USA/2009,North America,2009.0,1
ASFV-like virus WU,Europa,2008.0,15
Aalivirus A,Asia,2012.0,2
Aalivirus A,Asia,2018.0,1
Abaca bunchy top virus,Asia,2006.0,3
Abalone asfa-like virus,Asia,2015.0,1
Abalone asfa-like virus,Asia,2018.0,1
Abalone herpesvirus Taiwan/2004,Asia,2004.0,5
Abalone herpesvirus Taiwan/2005,Asia,2005.0,1
Abalone herpesvirus type 2 Taiwan/2007,Asia,2007.0,1
Abalone shriveling syndrome-associated virus,Asia,2005.0,2
Abatino macacapox virus,Europa,2015.0,2
Abdera bunya-like virus,Europa,2019.0,1
Abisko virus,Europa,2013.0,6
Abras orthobunyavirus,South America,1974.0,5
Abu Hammad orthonairovirus,Africa,1971.0,6
Abu Mina orthonairovirus,Africa,1963.0,3
Abutilon Brazil virus,South America,2007.0,4
Abutilon golden mosaic virus,North America,2007.0,2
Abutilon mosaic Bolivia virus,South America,2007.0,4
Abutilon mosaic virus,Africa,2007.0,1
Abutilon mosaic virus,Asia,2010.0,4
Abutilon mosaic virus,Europa,2007.0,2
Abutilon mosaic virus,Europa,2009.0,2
Abutilon mosaic virus,Oceans and Seas,2010.0,2
Abutilon mosaic virus,South America,2014.0,1
Academ virus,Europa,2017.0,3
Academ virus,Europa,2018.0,1
Academ virus,Europa,2019.0,3
Academ virus,Europa,2020.0,8
Academ virus,Europa,2021.0,6
Acado virus,Africa,1963.0,10
Acalypha yellow mosaic Siliguri virus,Asia,2010.0,1
Acalypha yellow mosaic virus,Asia,2011.0,2
Acanthamoeba castellanii mamavirus,Europa,2006.0,1
Acanthamoeba castellanii medusavirus,Asia,2019.0,1
Acanthamoeba polyphaga lentillevirus,Europa,2010.0,10
Acanthamoeba polyphaga mimivirus,Asia,2014.0,1
Acanthamoeba polyphaga mimivirus,Europa,2020.0,1
Acanthamoeba polyphaga mimivirus,South America,2011.0,3
Acanthamoeba polyphaga mimivirus,South America,2013.0,1
Acanthamoeba polyphaga mimivirus,South America,2014.0,37
Acanthamoeba polyphaga mimivirus,South America,2015.0,1
Acanthis flammea CRESS-DNA-virus sp.,Asia,2018.0,1
Acanthurus bariene nervous necrosis virus,Asia,2009.0,1
Acanthurus dussumieri iridovirus,Asia,2008.0,1
Acara orthobunyavirus,North America,1964.0,3
Acara orthobunyavirus,South America,1961.0,3
Acartia tonsa copepod circovirus,North America,2010.0,2
