Species,Host,Count
ACT flea iflavirus,Spilopsyllus cuniculi,2
ANAJ Hantavirus,Homo sapiens,1
ANMV-1 virus,uncultured archaeon,1
APSE phage Eptesicus fuscus/P5/IT/USA/2009,Eptesicus fuscus,1
ASFV-like virus WU,Homo sapiens,6
Aalivirus A,Anas platyrhynchos,2
Aalivirus A,Anatidae,1
Abaca bunchy top virus,Musa sp.,12
Abaca bunchy top virus,Musa textilis,9
Abakapovirus asiadaptatum,activated sludge metagenome,1
Abalone asfa-like virus,Haliotis discus discus,1
Abalone asfa-like virus,Haliotis madaka,1
Abatino macacapox virus,Macaca tonkeana,2
Abdera bunya-like virus,Coquillettidia richiardii,1
Abeoforma parvovirus,Abeoforma whisleri,1
Abisko virus,Epirrita autumnata,6
Abras orthobunyavirus,Culex paracrybda,5
Abraxas grossulariata nucleopolyhedrovirus,Abraxas grossulariatus,3
Abu Hammad orthonairovirus,Argas hermanni,3
Abu Hammad orthonairovirus,Columbidae,3
Abu Mina orthonairovirus,Streptopelia turtur,3
Abutilon Brazil virus,Abutilon,4
Abutilon golden mosaic virus,Abutilon permolle,2
Abutilon mosaic Bolivia virus,Abutilon,4
Abutilon mosaic Brazil virus,Blainvillea rhomboidea,2
Abutilon mosaic Brazil virus,Sida rhombifolia,5
Abutilon mosaic virus,Abutilon,6
Abutilon mosaic virus,Abutilon megapotamicum,4
Abutilon mosaic virus,Abutilon pannosum,1
Abutilon mosaic virus,Callianthe picta,1
Abutilon mosaic virus,Callianthe sellowiana,4
Abutilon mosaic virus,Callianthe striata,2
Abutilon theophrasti picorna-like virus,Abutilon theophrasti,1
Abutilon yellow mosaic virus,Abutilon x hybridum,1
Academ virus,Talpa altaica,21
Acado virus,Culex antennatus,10
Acalypha yellow mosaic Siliguri virus,Acalypha indica,1
Acalypha yellow mosaic virus,Acalypha indica,2
Acalypha yellow mosaic virus,Croton bonplandianus,1
Acanthamoeba castellanii mamavirus,Acanthamoeba castellanii,4
Acanthamoeba castellanii medusavirus,Acanthamoeba castellanii,1
Acanthamoeba castellanii mimivirus,Acanthamoeba castellanii,2
Acanthamoeba polyphaga lentillevirus,Acanthamoeba polyphaga,10
Acanthamoeba polyphaga mimivirus,Acanthamoeba castellanii,4
Acanthamoeba polyphaga mimivirus,Acanthamoeba polyphaga,48
Acanthamoeba polyphaga mimivirus,Acanthamoeba sp.,2
Acanthamoeba polyphaga mimivirus,Amoeba,2
Acanthis flammea CRESS-DNA-virus sp.,Acanthis flammea,1
Acanthocystis turfacea Chlorella virus 5th_CW_MN_L4,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus 5th_CW_MN_s1a,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus BRO604,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Br0604L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Can0610SP,Chlorella heliozoae,2
Acanthocystis turfacea Chlorella virus Canal-1,Chlorella heliozoae,2
Acanthocystis turfacea Chlorella virus Chile_7s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Dismal_NE,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Dismal_NE_s3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Drexel,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus GM0701,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus GM0701.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus GNLD22,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale-L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale-s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale-s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale_WI_m4,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus IL-1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus IL-M,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Island-Lake_Large-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Island-Lake_Medium,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Island-Lake_Small,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus K2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus K2s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus KS3-S,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F1m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F2L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F2m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F2s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F3L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F3m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F4s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus MN0810.1,Chlorella heliozoae,1
