Species,Host,Count
ACT flea iflavirus,Spilopsyllus cuniculi,2
ANAJ Hantavirus,Homo sapiens,1
ANMV-1 virus,uncultured archaeon,69
APSE phage Eptesicus fuscus/P5/IT/USA/2009,Eptesicus fuscus,1
Aalivirus A,Anas platyrhynchos,2
Aalivirus A,Anatidae,1
Abaca bunchy top virus,Musa sp.,10
Abaca bunchy top virus,Musa textilis,8
Abakapovirus asiadaptatum,activated sludge metagenome,3
Abalone asfa-like virus,Haliotis discus discus,159
Abalone asfa-like virus,Haliotis madaka,309
Abatino macacapox virus,Macaca tonkeana,416
Abdera bunya-like virus,Coquillettidia richiardii,1
Abelson murine leukemia virus,Mus musculus,3
Abeoforma parvovirus,Abeoforma whisleri,8
Abisko virus,Epirrita autumnata,10
Abras orthobunyavirus,Culex paracrybda,6
Abraxas grossulariata nucleopolyhedrovirus,Abraxas grossulariatus,3
Abu Hammad orthonairovirus,Columbidae,3
Abu Mina orthonairovirus,Streptopelia turtur,3
Abutilon Brazil virus,Abutilon,14
Abutilon golden mosaic virus,Abutilon permolle,10
Abutilon mosaic Bolivia virus,Abutilon,14
Abutilon mosaic Brazil virus,Blainvillea rhomboidea,4
Abutilon mosaic Brazil virus,Sida rhombifolia,22
Abutilon mosaic virus,Abutilon,33
Abutilon mosaic virus,Abutilon megapotamicum,14
Abutilon mosaic virus,Abutilon pannosum,2
Abutilon mosaic virus,Callianthe picta,2
Abutilon mosaic virus,Callianthe sellowiana,15
Abutilon mosaic virus,Callianthe striata,2
Abutilon theophrasti picorna-like virus,Abutilon theophrasti,1
Academ virus,Talpa altaica,21
Acado virus,Culex antennatus,11
Acalypha yellow mosaic Siliguri virus,Acalypha indica,4
Acalypha yellow mosaic virus,Acalypha indica,2
Acalypha yellow mosaic virus,Croton bonplandianus,1
Acanthamoeba castellanii mamavirus,Acanthamoeba castellanii,9
Acanthamoeba castellanii medusavirus,Acanthamoeba castellanii,429
Acanthamoeba castellanii mimivirus,Acanthamoeba castellanii,1974
Acanthamoeba polyphaga lentillevirus,Acanthamoeba polyphaga,807
Acanthamoeba polyphaga mimivirus,Acanthamoeba castellanii,3853
Acanthamoeba polyphaga mimivirus,Acanthamoeba polyphaga,1795
Acanthamoeba polyphaga mimivirus,Acanthamoeba sp.,2200
Acanthamoeba polyphaga mimivirus,Amoeba,1667
Acanthis flammea CRESS-DNA-virus sp.,Acanthis flammea,1
Acanthocystis turfacea Chlorella virus 5th_CW_MN_L4,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus 5th_CW_MN_s1a,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus BRO604,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Br0604L,Chlorella heliozoae,336
Acanthocystis turfacea Chlorella virus Can0610SP,Chlorella heliozoae,332
Acanthocystis turfacea Chlorella virus Canal-1,Chlorella heliozoae,327
Acanthocystis turfacea Chlorella virus Chile_7s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Dismal_NE,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Dismal_NE_s3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Drexel,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus GM0701,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus GM0701.1,Chlorella heliozoae,347
Acanthocystis turfacea Chlorella virus GNLD22,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale-L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale-s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale-s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Hale_WI_m4,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus IL-1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus IL-M,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Island-Lake_Large-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Island-Lake_Medium,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Island-Lake_Small,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus K2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus K2s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus KS3-S,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F1m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F2L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F2m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F2s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F3L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F3m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus LP_CO_F4s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus MN0810.1,Chlorella heliozoae,337
Acanthocystis turfacea Chlorella virus MN08101,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus MO0605SPH,Chlorella heliozoae,315
