,Taxonomy,Isolation_Source,Count
0,Aalivirus A,abdominal cavity,2
1,Aalivirus A,"feces, abdominal cavity",1
2,Academ virus,lung,19
3,Acanthis flammea CRESS-DNA-virus sp.,feces,1
4,Accipiter gentilis Genomoviridae sp.,feces,2
5,Accipiter gentilis ambidensovirus,feces,4
6,Accipiter gentilis parvo-like hybrid virus,feces,2
7,Accipiter gentilis parvoviridae sp.,feces,1
8,Acerodon celebensis polyomavirus 1,spleen,8
9,Acerodon celebensis polyomavirus 2,spleen,8
10,Achaea janata granulovirus,larva,1
11,Actinidia chlorotic ringspot-associated emaravirus,plant leaf,3
12,Actinidia virus 1,plant leaf,5
13,Actinidia virus A,plant leaf,5
14,Actinidia virus B,plant leaf,3
15,Acute bee paralysis virus,abdominal cavity,2
16,Acute bee paralysis virus,feces,2
17,Acyrthosiphon pisum virus,feces,2
18,Adeno-Associated Virus Clade A,feces,33
19,Adeno-Associated Virus Clade C,feces,2
20,Adeno-Associated Virus Clade D,feces,2
21,Adeno-Associated Virus PREDICT_AaV-10,feces,3
22,Adeno-Associated Virus PREDICT_AaV-11,feces,6
23,Adeno-Associated Virus PREDICT_AaV-5,feces,1
24,Adeno-Associated Virus PREDICT_AaV-6,feces,2
25,Adeno-Associated Virus PREDICT_AaV-7,feces,2
26,Adeno-Associated Virus PREDICT_AaV-8,feces,4
27,Adeno-Associated Virus PREDICT_AaV-9,feces,1
28,Adeno-Associated Virus rh.8,feces,32
29,Adeno-associated dependoparvovirus A,blood,112
30,Adeno-associated dependoparvovirus A,feces,16
31,Adeno-associated virus,abdominal cavity,4
32,Adeno-associated virus,bone,4
33,Adeno-associated virus,feces,13
34,Adeno-associated virus,"liver, abdominal cavity",25
35,Adeno-associated virus,tissue,4
36,Adeno-associated virus Croatia cul1_12,oronasopharynx,2
37,Adenoviridae sp.,feces,27
38,Adenoviridae sp.,swab,6
39,Adenovirus PREDICT_AdV-13,oronasopharynx,6
40,Adenovirus PREDICT_AdV-13,"oronasopharynx, feces, blood",1
41,Adenovirus PREDICT_AdV-14,"oronasopharynx, feces, blood, skin",1
42,Adenovirus PREDICT_AdV-15,"feces, blood, oronasopharynx",1
43,Adenovirus PREDICT_AdV-15,"oronasopharynx, feces, blood",1
44,Adenovirus PREDICT_AdV-16,"oronasopharynx, feces, blood",5
45,Adenovirus PREDICT_AdV-17,"liver, spleen",2
46,Adenovirus PREDICT_AdV-18,"liver, spleen",2
47,Adenovirus PREDICT_AdV-19,"liver, spleen",1
48,Adenovirus PREDICT_AdV-2,feces,1
49,Adenovirus PREDICT_AdV-20,"liver, spleen",1
50,Adenovirus PREDICT_AdV-21,"liver, spleen",1
51,Adenovirus PREDICT_AdV-21,"spleen, abdominal cavity, liver, abdominal cavity",1
52,Adenovirus PREDICT_AdV-22,"liver, spleen",2
53,Adenovirus PREDICT_AdV-22,"spleen, abdominal cavity, liver, abdominal cavity",2
54,Adenovirus PREDICT_AdV-23,"liver, spleen",1
55,Adenovirus PREDICT_AdV-24,"liver, abdominal cavity",1
56,Adenovirus PREDICT_AdV-24,"liver, spleen",6
57,Adenovirus PREDICT_AdV-25,"liver, spleen",1
58,Adenovirus PREDICT_AdV-26,"oronasopharynx, feces",1
59,Adenovirus PREDICT_AdV-27,"oronasopharynx, feces",1
60,Adenovirus PREDICT_AdV-28,"liver, spleen",3
61,Adenovirus PREDICT_AdV-29,"liver, spleen",4
62,Adenovirus PREDICT_AdV-3,oronasopharynx,1
63,Adenovirus PREDICT_AdV-30,"liver, spleen",1
64,Adenovirus PREDICT_AdV-31,feces,1
65,Adenovirus PREDICT_AdV-31,oronasopharynx,1
66,Adenovirus PREDICT_AdV-32,feces,1
67,Adenovirus PREDICT_AdV-33,"liver, spleen",3
68,Adenovirus PREDICT_AdV-34,"liver, spleen",3
69,Adenovirus PREDICT_AdV-35,"liver, spleen",4
70,Adenovirus PREDICT_AdV-36,"liver, spleen",2
71,Adenovirus PREDICT_AdV-36,"spleen, abdominal cavity, liver, abdominal cavity",1
72,Adenovirus PREDICT_AdV-37,"liver, spleen",2
73,Adenovirus PREDICT_AdV-38,"liver, spleen",11
74,Adenovirus PREDICT_AdV-38,"spleen, abdominal cavity, liver, abdominal cavity",1
75,Adenovirus PREDICT_AdV-39,"liver, spleen",1
76,Adenovirus PREDICT_AdV-40,"liver, spleen",1
77,Adenovirus PREDICT_AdV-41,"liver, spleen",2
78,Adenovirus PREDICT_AdV-42,"liver, spleen",1
79,Adenovirus PREDICT_AdV-43,feces,1
80,Adenovirus PREDICT_AdV-43,oronasopharynx,1
81,Adenovirus PREDICT_AdV-43,"oronasopharynx, feces",1
82,Adenovirus PREDICT_AdV-44,"liver, spleen",2
83,Adenovirus PREDICT_AdV-44,"spleen, abdominal cavity, liver, abdominal cavity",1
84,Adenovirus PREDICT_AdV-45,"liver, spleen",2
85,Adenovirus PREDICT_AdV-46,"liver, spleen",1
86,Adenovirus PREDICT_AdV-47,feces,1
87,Adenovirus PREDICT_AdV-48,"liver, spleen",4
88,Adenovirus PREDICT_AdV-49,"liver, spleen",7
89,Adenovirus PREDICT_AdV-5,oronasopharynx,1
90,Adenovirus PREDICT_AdV-50,"liver, spleen",3
91,Adenovirus PREDICT_AdV-51,"liver, spleen",1
92,Adenovirus PREDICT_AdV-52,feces,1
93,Adenovirus PREDICT_AdV-53,"liver, spleen",1
94,Adenovirus PREDICT_AdV-54,"liver, spleen",2
95,Adenovirus PREDICT_AdV-55,feces,6
96,Adenovirus PREDICT_AdV-55,"oronasopharynx, feces",1
97,Adenovirus PREDICT_AdV-56,"liver, spleen",1
98,Adenovirus PREDICT_AdV-57,"liver, spleen",1
99,Adenovirus PREDICT_AdV-58,"liver, spleen",2
100,Adenovirus PREDICT_AdV-59,"liver, spleen",1
101,Adenovirus PREDICT_AdV-60,"liver, spleen",1
102,Adenovirus PREDICT_AdV-61,"liver, spleen",1
103,Adenovirus PREDICT_AdV-62,"spleen, abdominal cavity, liver, abdominal cavity",1
104,Adenovirus PREDICT_AdV-63,"liver, spleen",1
105,Adenovirus PREDICT_AdV-64,"liver, spleen",2
106,Adenovirus PREDICT_AdV-65,"liver, spleen",1
107,Adenovirus PREDICT_AdV-66,oronasopharynx,5
108,Adenovirus PREDICT_AdV-67,"oronasopharynx, feces",1
109,Adenovirus PREDICT_AdV-68,"liver, spleen",3
110,Adenovirus PREDICT_AdV-69,feces,5
111,Adenovirus PREDICT_AdV-70,"oronasopharynx, feces",1
112,Adenovirus PREDICT_AdV-71,oronasopharynx,2
113,Adenovirus PREDICT_AdV-72,feces,6
114,Adenovirus PREDICT_AdV-73,oronasopharynx,5
115,Adenovirus PREDICT_AdV-74,feces,5
116,Adenovirus PREDICT_AdV-74,"liver, spleen",1
117,Adenovirus PREDICT_AdV-75,feces,50
118,Adenovirus PREDICT_AdV-75,oronasopharynx,59
119,Adenovirus PREDICT_AdV-77,"oronasopharynx, feces",1
120,Adenovirus PREDICT_AdV-78,"liver, spleen",1
121,Adenovirus PREDICT_AdV-79,"liver, spleen",1
122,Adenovirus PREDICT_AdV-80,"liver, spleen",1
123,Adenovirus PREDICT_AdV-87,feces,2
124,Adenovirus PREDICT_AdV-90,feces,6
125,Adenovirus PREDICT_AdV-91,feces,1
126,Adenovirus red squirrel/DEU/JK-2011,"feces, abdominal cavity",2
127,Adenovirus sp.,"brain, liver, abdominal cavity",1
128,Adenovirus sp.,feces,9
129,Adenovirus sp.,oronasopharynx,1
130,Adenovirus squirrel/298/07-19/PT,"spleen, abdominal cavity",2
131,Adenovirus squirrel/96-29/KOR,"spleen, abdominal cavity",2
132,Adenovirus squirrel/GBR/SG-2012,"feces, abdominal cavity",2
133,Adoxophyes orana nucleopolyhedrovirus,larva,242
134,Aedes flavivirus,"pooled insects, larva",1
135,Aedes notoscriptus flavivirus,pooled insects,2
136,Aedes pseudoscutellaris reovirus,blood,6
137,Aegithalos caudatus CRESS-DNA-virus sp.,feces,1
138,Aegithalos caudatus Genomoviridae sp.,feces,6
139,Aegithalos caudatus ambidensovirus,feces,4
140,Aegithalos caudatus parvoviridae sp.,feces,11
141,Aethomys kaiseri betaherpesvirus,"kidney, abdominal cavity",1
142,Aethomys kaiseri betaherpesvirus,lung,1
143,African cassava mosaic virus,plant leaf,557
144,African eggplant-associated virus,fruit,8
145,African horse sickness virus,blood,117
146,African horse sickness virus,"liver, abdominal cavity",10
147,African horse sickness virus,lung,30
148,African horse sickness virus,lymph,2
149,African horse sickness virus,"spleen, abdominal cavity",42
150,African pygmy hedgehog adenovirus 1,oronasopharynx,3
151,African swine fever virus,blood,1672
152,African swine fever virus,bone,366
153,African swine fever virus,brain,1
154,African swine fever virus,lung,1
155,African swine fever virus,lymph,46
156,African swine fever virus,"spleen, abdominal cavity",4312
157,African swine fever virus,"spleen, abdominal cavity, lung, lymph",14
158,African swine fever virus,tissue,1
159,Afronycteris nana bat alphacoronavirus/Bat77/Eswatini/2014,feces,5
