,Taxonomy,Collection_Date,Cumulative_Count_x,Count_x,Cumulative_Count_y,Count_y
0,Avipoxvirus,1865.0,1.0,1.0,1,1
1,Avipoxvirus ID2757,1865.0,1.0,1.0,1,1
2,All Species,1865.0,1.0,1.0,1,1
3,Poxviridae,1865.0,1.0,1.0,1,1
4,Orthopoxvirus,1866.0,209.0,209.0,1,1
5,Vaccinia virus,1866.0,209.0,209.0,1,1
6,All Species,1866.0,210.0,209.0,2,1
7,Poxviridae,1866.0,210.0,209.0,2,1
8,Gammaretrovirus,1870.0,1.0,1.0,1,1
9,Koala retrovirus,1870.0,1.0,1.0,1,1
10,Retroviridae,1870.0,1.0,1.0,1,1
11,All Species,1870.0,211.0,1.0,3,1
12,All Species,1882.0,214.0,3.0,6,3
13,Rhabdoviridae,1882.0,3.0,3.0,3,3
14,Lyssavirus,1882.0,3.0,3.0,3,3
15,Rabies lyssavirus,1882.0,3.0,3.0,3,3
16,Koala retrovirus,1891.0,5.0,4.0,3,2
17,All Species,1891.0,218.0,4.0,8,2
18,Retroviridae,1891.0,5.0,4.0,3,2
19,Gammaretrovirus,1891.0,5.0,4.0,3,2
20,Poxviridae,1893.0,212.0,2.0,4,2
21,All Species,1893.0,220.0,2.0,10,2
22,Avipoxvirus,1893.0,3.0,2.0,3,2
23,Avipoxvirus ID9081,1893.0,1.0,1.0,1,1
24,Avipoxvirus ID2701,1893.0,1.0,1.0,1,1
25,Lyssavirus,1898.0,8.0,5.0,4,1
26,European bat 2 lyssavirus,1898.0,5.0,5.0,1,1
27,All Species,1898.0,225.0,5.0,11,1
28,Rhabdoviridae,1898.0,8.0,5.0,4,1
29,Retroviridae,1899.0,6.0,1.0,4,1
30,Human immunodeficiency virus 1,1899.0,1.0,1.0,1,1
31,All Species,1899.0,226.0,1.0,12,1
32,Lentivirus,1899.0,1.0,1.0,1,1
33,Human immunodeficiency virus 1,1900.0,69.0,68.0,40,39
34,Human immunodeficiency virus 2,1900.0,1.0,1.0,1,1
35,All Species,1900.0,304.0,78.0,55,43
36,Dependoparvovirus,1900.0,7.0,7.0,1,1
37,Parvoviridae,1900.0,7.0,7.0,1,1
38,Avipoxvirus isolate Hawaii,1900.0,1.0,1.0,1,1
39,Hepadnaviridae,1900.0,1.0,1.0,1,1
40,Retroviridae,1900.0,75.0,69.0,44,40
41,Poxviridae,1900.0,213.0,1.0,5,1
42,Orthohepadnavirus,1900.0,1.0,1.0,1,1
43,Hepatitis B virus,1900.0,1.0,1.0,1,1
44,Avipoxvirus,1900.0,4.0,1.0,4,1
45,Adeno-associated virus,1900.0,7.0,7.0,1,1
46,Lentivirus,1900.0,70.0,69.0,41,40
47,Human immunodeficiency virus 2,1901.0,2.0,1.0,2,1
48,Retroviridae,1901.0,76.0,1.0,45,1
49,All Species,1901.0,305.0,1.0,56,1
50,Lentivirus,1901.0,71.0,1.0,42,1
51,Poxviridae,1902.0,459.0,246.0,6,1
52,Orthopoxvirus,1902.0,455.0,246.0,2,1
53,Vaccinia virus,1902.0,455.0,246.0,2,1
54,Alphainfluenzavirus,1902.0,17.0,17.0,13,13
55,Orthomyxoviridae,1902.0,17.0,17.0,13,13
56,Influenza A virus,1902.0,17.0,17.0,13,13
57,All Species,1902.0,568.0,263.0,70,14
58,Gammaretrovirus,1904.0,12.0,7.0,6,3
59,Human immunodeficiency virus 2,1904.0,3.0,1.0,3,1
60,All Species,1904.0,576.0,8.0,74,4
61,Lentivirus,1904.0,72.0,1.0,43,1
62,Retroviridae,1904.0,84.0,8.0,49,4
63,Koala retrovirus,1904.0,12.0,7.0,6,3
64,Peribunyaviridae,1905.0,10.0,10.0,9,9
65,Lentivirus,1905.0,75.0,3.0,45,2
66,Foot-and-mouth disease virus,1905.0,1.0,1.0,1,1
67,Human immunodeficiency virus 1,1905.0,72.0,3.0,42,2
68,Orthobunyavirus,1905.0,6.0,6.0,6,6
69,Norwalk virus,1905.0,5.0,5.0,3,3
70,Morbillivirus,1905.0,1.0,1.0,2,2
71,Hepacivirus C,1905.0,4.0,4.0,2,2
72,Hepacivirus,1905.0,4.0,4.0,2,2
73,Caliciviridae,1905.0,5.0,5.0,3,3
74,Rhabdoviridae,1905.0,31.0,23.0,7,3
75,Hart Park hapavirus,1905.0,7.0,7.0,1,1
76,Picornaviridae,1905.0,2.0,2.0,2,2
77,Bushbush orthobunyavirus,1905.0,3.0,3.0,3,3
78,Paramyxoviridae,1905.0,1.0,1.0,2,2
79,Norovirus,1905.0,5.0,5.0,3,3
80,Enterovirus,1905.0,1.0,1.0,1,1
81,Flaviviridae,1905.0,4.0,4.0,2,2
82,All Species,1905.0,626.0,50.0,98,24
83,Aphthovirus,1905.0,1.0,1.0,1,1
84,Measles morbillivirus,1905.0,1.0,1.0,2,2
85,Venezuelan equine encephalitis virus,1905.0,2.0,2.0,1,1
86,Anopheles A orthobunyavirus,1905.0,3.0,3.0,3,3
87,Flanders hapavirus,1905.0,16.0,16.0,2,2
