Species,Collection_Date,Count
Avipoxvirus ID2757,1865.0,1
Vaccinia virus,1866.0,1
Koala retrovirus,1870.0,1
Rabies lyssavirus,1882.0,3
Koala retrovirus,1891.0,2
Avipoxvirus ID2701,1893.0,1
Avipoxvirus ID9081,1893.0,1
European bat 2 lyssavirus,1898.0,1
Human immunodeficiency virus 1,1899.0,1
Avipoxvirus isolate Hawaii,1900.0,1
Bluetongue virus,1900.0,10
Human immunodeficiency virus 2,1900.0,1
Human immunodeficiency virus 1,1900.0,39
Adeno-associated virus,1900.0,1
Hepatitis B virus,1900.0,1
Human immunodeficiency virus 2,1901.0,1
Influenza A virus,1902.0,13
Vaccinia virus,1902.0,1
Koala retrovirus,1904.0,3
Human immunodeficiency virus 2,1904.0,1
Lhasa Parti tick virus 1,1905.0,1
Human immunodeficiency virus 1,1905.0,2
Anopheles A orthobunyavirus,1905.0,3
Enterovirus A,1905.0,1
Bushbush orthobunyavirus,1905.0,3
Yanbian Reovi tick virus 4,1905.0,1
Guyuan Rhabd tick virus 1,1905.0,1
Lhasa Rhabd tick virus 1,1905.0,1
Norwalk virus,1905.0,3
Guyuan tick virus 1,1905.0,1
Hart Park hapavirus,1905.0,1
Measles morbillivirus,1905.0,2
Qingyuan Delta tick virus 1,1905.0,1
Qingyuan Parti tick virus 1,1905.0,1
Tonghua Narna tick virus 4,1905.0,1
Dali Ortho tick virus 1,1905.0,1
Venezuelan equine encephalitis virus,1905.0,1
Hepacivirus C,1905.0,2
Qingyuan Narna tick virus 1,1905.0,1
Anshan Parti tick virus 1,1905.0,1
Foot-and-mouth disease virus,1905.0,1
Kashgar Totiv tick virus 1,1905.0,1
Barranqueras virus,1905.0,3
Flanders hapavirus,1905.0,2
Enterovirus C,1909.0,2
Rinderpest morbillivirus,1910.0,8
Avipoxvirus ID9801,1911.0,1
Koala retrovirus,1911.0,2
Cotton leaf curl Multan virus,1918.0,1
Influenza A virus,1918.0,12
Measles morbillivirus,1919.0,1
Measles morbillivirus,1920.0,1
Faba bean necrotic stunt virus,1920.0,1
Foot-and-mouth disease virus,1920.0,2
Songling virus,1921.0,1
Porcine reproductive and respiratory syndrome virus,1921.0,1
Songling virus,1922.0,1
Orthohepevirus A,1922.0,1
Songling virus,1923.0,1
Human metapneumovirus,1924.0,1
Tomato yellow leaf curl virus,1924.0,1
Canine circovirus,1924.0,4
Songling virus,1924.0,1
Songling virus,1925.0,1
Influenza A virus,1925.0,8
Foot-and-mouth disease virus,1926.0,1
Songling virus,1926.0,1
Influenza A virus,1927.0,15
Yellow fever virus,1927.0,2
Songling virus,1927.0,1
Orthohepevirus A,1928.0,1
Potato virus X,1928.0,1
Potato virus Y,1928.0,3
Potato mop-top virus,1928.0,6
African cassava mosaic virus,1928.0,2
Potato virus B,1928.0,2
Potato virus V,1928.0,3
Mungbean yellow mosaic virus,1928.0,1
Songling virus,1928.0,1
Potato virus S,1928.0,1
Songling virus,1929.0,1
Foot-and-mouth disease virus,1929.0,2
Avipoxvirus ID8926,1930.0,1
Songling virus,1930.0,2
Human immunodeficiency virus 1,1930.0,5
Western equine encephalitis virus,1930.0,2
Avian orthoavulavirus 1,1930.0,1
Ectromelia virus,1930.0,1
Human immunodeficiency virus 1,1931.0,65
Louping ill virus,1931.0,1
Saccharomyces paradoxus virus L-A-1939,1931.0,1
Saccharomyces paradoxus L-A virus M28-like satellite,1931.0,1
West Nile virus,1931.0,2
Hepatitis B virus,1931.0,4
Influenza A virus,1931.0,24
Orthohepevirus A,1931.0,1
Rabies lyssavirus,1931.0,9
Foot-and-mouth disease virus,1932.0,1
Citrus leprosis virus C,1932.0,10
Influenza A virus,1933.0,53
African horse sickness virus,1933.0,10
Western equine encephalitis virus,1933.0,1
Eastern equine encephalitis virus,1933.0,4
Madariaga virus,1933.0,1
Saint Louis encephalitis virus,1933.0,1
Eastern equine encephalitis virus,1934.0,1
Vesicular exanthema of swine virus,1934.0,1
Foot-and-mouth disease virus,1934.0,2
Influenza A virus,1934.0,345
Influenza A virus,1935.0,56
Eastern equine encephalitis virus,1935.0,1
Rabies lyssavirus,1935.0,2
Japanese encephalitis virus,1935.0,4
Lymphocytic choriomeningitis mammarenavirus,1935.0,3
African horse sickness virus,1936.0,10
Influenza A virus,1936.0,8
Eastern equine encephalitis virus,1936.0,1
Avipoxvirus ID8964,1936.0,1
Madariaga virus,1936.0,1
Tick-borne encephalitis virus,1937.0,5
Bwamba orthobunyavirus,1937.0,7
Citrus leprosis virus C,1937.0,6
Human alphaherpesvirus 1,1937.0,20
Bluetongue virus,1937.0,30
Koala retrovirus,1938.0,1
Western equine encephalitis virus,1938.0,1
Human alphaherpesvirus 1,1938.0,51
Venezuelan equine encephalitis virus,1938.0,1
Potato virus Y,1938.0,1
Eastern equine encephalitis virus,1938.0,1
African horse sickness virus,1938.0,10
Citrus leprosis virus C,1939.0,5
Rabies lyssavirus,1939.0,3
Japanese encephalitis virus,1939.0,2
Wyeomyia orthobunyavirus,1940.0,9
Grapevine red blotch virus,1940.0,1
African horse sickness virus,1940.0,10
Anopheles B orthobunyavirus,1940.0,3
Anopheles A orthobunyavirus,1940.0,3
